Intersul (A)
757 757 Cascadura - Riocentro (Camorim) |
758 758 Cascadura - Recreio (via Av. Salvador Allende) | C
758 sV758 Cascadura - Recreio (via Av. Benvindo de Novaes) | C
760 760 Curicica - Madureira (via Guerengue) | C
761 761 Madureira - Boiuna |
762 762 Madureira - Colônia |
763 763 Madureira - Santa Maria |
764 764 Madureira - Pau da Fome |
764 865 Pau da Fome - Taquara | C
766 766 Madureira - Freguesia |
774 774 Madureira - Jardim América | C
775 775 Vigário Geral - Madureira | C
780 780 Benfica - Madureira |
780 785 Oswaldo Cruz - Benfica |
781 781 Cascadura - Marechal Hermes (via Praça Seca) | C
782 782 Cascadura - Marechal Hermes (via Rocha Miranda) | C
782 783 Marechal Hermes - Praça Seca | C
940 940 Ramos (Praia) - Madureira |
952 952 Praça Seca - Penha | C
1045 2345 Castelo - Vila Valqueire (via Norte Shopping/R. Quiririm) | BRS5
1094 2346 Castelo - Vila Valqueire (via Marechal Hermes) | BRS5
1133 2329 Recreio - Castelo (via Av. Sernambetiba) | BRS3
1133 2333 Recreio - Castelo (via Av. das Américas) | BRS3
2016 318 Barra Sul - Castelo | BRS3
2018 2018 Aeroporto Internacional do RJ - Alvorada | BRS3
2018 2918 Aeroporto Internacional R.J. - Alvorada (via Linha Amarela) |
2111 306 Castelo - Praça Seca (via Avenida Menezes Cortes) | BRS5
2111 331 Castelo - Praça Seca (via Linha Amarela) | BRS5
2111 610 Del Castilho - Praça Seca (via Linha Amarela) |
2111 2110 Castelo - Gardênia Azul | BRS5
2111 2111 Castelo - Praça Seca (via Avenida Menezes Cortes) | BRS5
2111 2112 Castelo - Taquara (via Linha Amarela) | BRS5
2111 2114 Castelo - Freguesia | BRS5
2113 332 Castelo - Taquara (via Barra da Tijuca) | BRS3
2113 336 Pechincha - Castelo (via Itanhangá) | BRS3
DelCastilho/Alvorada 614 Del Castilho - Alvorada (metrô) |
s020 360 Carioca - Recreio dos Bandeirantes | BRS3
s020 361 Carioca - Recreio dos Bandeirantes (via Linha Amarela) | BRS5
s035 957 Maré - Alvorada (via Botafogo/Av. Sernambetiba) |
